fips_state_county_code,population_2020,10_year_pop_delta,20_year_pop_delta,rucc
1109,33009,0.003343567,0.111863379,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
1111,21967,-0.041286606,-0.016872538,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
1113,59183,0.117778156,0.187126409,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
1115,91103,0.089840058,0.407213469,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
1117,223024,0.143214496,0.554943561,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
1119,12345,-0.103029863,-0.164297319,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
1121,82149,-0.001725584,0.017526693,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
1123,41311,-0.007328912,-0.011012425,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
1125,227036,0.166344731,0.37654306,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
1127,65342,-0.025080942,-0.075628112,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
1129,15388,-0.124736932,-0.148752558,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
1131,10600,-0.091688089,-0.184301654,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
1133,23540,-0.038555792,-0.05103604,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
2013,3420,0.088825215,0.26807564,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
2016,5232,-0.059162021,-0.042459736,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
2020,291247,-0.001984059,0.118894041,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
2050,18666,0.097160995,0.163280568,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
2060,844,-0.153460381,-0.3290938,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
2068,1619,-0.113362541,-0.144743793,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
2070,4857,0.002063132,-0.013206014,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
2090,95655,-0.019737449,0.154570363,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
2100,2080,-0.170653907,-0.130434783,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
2105,2365,0.1,-0.081196581,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
2110,32255,0.031334932,0.050514591,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area                                                                                                                             "
2122,58799,0.061353791,0.183721539,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
2130,13948,0.034948431,-0.008952679,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
2150,13101,-0.036124191,-0.05856568,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
2158,8368,0.121866202,0.190665908,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
2164,1476,-0.095033722,-0.190345584,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
2170,107081,0.2032249,0.805202468,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
2180,10046,0.058364939,0.092431492,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
2185,11031,0.169777306,0.493703453,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
2188,7793,0.035889938,0.081159822,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
2195,3398,-0.109305374,-0.201597744,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
2198,5753,0.034898363,-0.060581319,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
2220,8458,-0.047629771,-0.042671194,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
2230,1240,0.280991736,0.441860465,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
2240,6808,-0.031441172,0.102688695,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
2275,2127,-0.102152807,-0.132544861,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
2282,662,0,-0.180693069,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
2290,5343,-0.043843951,-0.179262673,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
4001,66021,-0.076861769,-0.049099813,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
4003,125447,-0.044911912,0.065430641,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
4005,145101,0.079451871,0.247429505,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
4007,53272,-0.006063772,0.038481032,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
4009,38533,0.035276733,0.151097834,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
4011,9563,0.133459761,0.119920365,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
4012,16557,-0.191907853,-0.158261312,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
4013,4420568,0.158090779,0.438792611,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
4015,213267,0.06534423,0.37608481,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
4017,106717,-0.006812534,0.095072446,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
4019,1043433,0.06444189,0.23673169,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
4021,425264,0.131713548,1.369568003,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
4023,47669,0.005250949,0.241994737,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
4025,236209,0.119298877,0.411239298,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
4027,203881,0.041532355,0.274296072,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
5001,17149,-0.09832273,-0.173581996,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
5003,19062,-0.127717018,-0.212866994,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
5005,41627,0.002746128,0.085025414,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
5007,284333,0.284604159,0.854470627,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
5009,37373,0.012736092,0.101149087,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
5011,10545,-0.083680918,-0.164289111,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
5013,4739,-0.117175857,-0.173093701,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
5015,28260,0.029658238,0.115012823,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
5017,10208,-0.134915254,-0.276079711,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
5019,21446,-0.06736247,-0.088993671,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
5021,14552,-0.095193683,-0.172899852,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
5023,24711,-0.048479014,0.029410539,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
5025,7550,-0.13108528,-0.118196683,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
5027,22801,-0.071318019,-0.109753241,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
5029,20715,-0.026230433,0.019438976,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
5031,111231,0.153334094,0.354180109,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
5033,60133,-0.029298767,0.129215804,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
5035,48163,-0.053809281,-0.052934815,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
5037,16833,-0.058030218,-0.138051103,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
5039,6482,-0.201330705,-0.295128317,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
5041,11395,-0.124000615,-0.257703081,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
5043,17350,-0.062618186,-0.071696094,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
5045,123498,0.090615258,0.435422381,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
5047,17097,-0.056717241,-0.037656197,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
5049,12075,-0.013883218,0.038531005,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
5051,100180,0.043280846,0.136833027,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
5053,17958,0.005881364,0.091207389,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
5055,45736,0.086623901,0.223443811,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
5057,20065,-0.112521562,-0.149680044,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
5059,33040,0.003553747,0.086377536,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
5061,12785,-0.072811661,-0.106194072,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
5063,37938,0.035227986,0.107808211,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
5065,13577,-0.008688668,0.023829274,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
5067,16755,-0.069011502,-0.090390879,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
5069,67260,-0.131400529,-0.202087906,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
5071,25749,0.008183242,0.130383248,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
5073,6308,-0.174885546,-0.262222222,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
5075,16216,-0.068848694,-0.087039748,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
5077,8600,-0.174980814,-0.316266497,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
5079,12941,-0.084406396,-0.106407955,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
5081,12026,-0.086933414,-0.117552099,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
5083,21131,-0.054668277,-0.060008897,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
5085,74015,0.082787173,0.400499536,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
5087,16521,0.051154801,0.161161091,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
5089,16826,0.010388519,0.042051155,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
5091,42600,-0.019833418,0.053021876,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
5093,40685,-0.124677281,-0.217581107,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
