FIPS Code,less_than_hs,hs_diploma_only,some_college_or_associates,bachelors_or_higher
31083,164,639,1022,527
31085,64,172,299,120
31087,158,675,825,354
31089,456,2318,2674,1569
31091,33,180,163,135
31093,228,1618,1676,943
31095,457,1919,1855,919
31097,516,1615,984,659
31099,158,1289,1793,1179
31101,505,1895,2351,1224
31103,25,163,192,127
31105,301,968,969,431
31107,459,1975,2140,1263
31109,12282,41828,63367,76759
31111,1577,6944,10187,5666
31113,37,186,273,121
31115,9,136,200,117
31117,35,77,140,71
31119,2195,6971,8480,5270
31121,317,1944,2264,980
31123,421,1085,1201,657
31125,173,952,939,462
31127,376,1371,1566,1276
31129,248,1045,1135,643
31131,784,3831,3690,2542
31133,238,782,577,329
31135,240,517,685,563
31137,421,1877,2508,1475
31139,222,1610,1888,1122
31141,2411,6482,8139,4738
31143,313,1129,1402,794
31145,549,2400,3006,1405
31147,448,2092,2137,1099
31149,34,346,402,236
31151,1465,2953,2876,1576
31153,5233,25175,39399,46108
31155,982,4481,5319,3679
31157,2900,6942,8784,5529
31159,652,3107,3963,3137
31161,351,1220,1298,847
31163,156,804,811,448
31165,57,246,278,256
31167,258,1284,1796,725
31169,274,1276,1359,674
31171,29,108,219,117
31173,422,1271,1541,633
31175,231,1023,1014,725
31177,613,4366,4700,4129
31179,213,1470,1928,1727
31181,152,871,867,566
31183,27,197,265,118
31185,600,2595,3470,2645
32001,1410,5310,6937,3161
32003,207228,424198,493500,364232
32005,2521,9043,14614,10918
32007,4560,10936,12336,5551
32009,94,326,254,129
32011,73,638,517,118
32013,1953,3426,3871,1864
32015,453,1471,1467,480
32017,513,1272,1200,728
32019,5140,12832,15472,5645
32021,357,1160,1243,485
32023,4742,13297,12434,3668
32027,992,1932,1692,579
32029,192,838,1040,948
32031,35940,74437,108405,97537
32033,843,2933,2357,929
32510,5121,10205,15279,8719
33001,3074,13299,14054,14687
33003,2177,11034,11366,12811
33005,3532,16694,15345,17620
33007,2954,9474,7442,4434
33009,4529,16759,16287,25708
33011,22986,75053,82179,110950
33013,7200,29541,31898,38008
33015,10847,56498,63117,92331
33017,6097,23313,24844,30194
33019,2810,11656,8541,8994
34001,24010,59017,49700,51949
34003,49161,148853,134472,323926
34005,19630,88177,86787,119351
34007,39407,102941,93034,113085
34009,5217,22350,19331,22910
34011,21262,40651,25155,16053
34013,74374,149902,120755,189550
34015,14285,64305,56006,66304
34017,72615,120211,83126,202114
34019,4457,18617,18926,46791
34021,28459,60780,52828,105467
34023,57834,143647,119053,247379
34025,28643,102013,104552,200708
34027,18978,69396,70471,186941
34029,32816,139398,114790,122732
34031,54276,115311,70179,94039
34033,4924,16934,12951,9267
34035,12561,46588,44895,125454
34037,5190,30944,28481,36531
34039,51403,107758,82006,135437
34041,6429,23149,21057,24963
35001,51699,108101,145934,160401
35003,168,1337,889,445
35005,9015,11466,13462,7431
35006,3078,5839,6643,2574
35007,1076,2685,3395,1985
35009,5528,8154,10991,5861
35011,180,415,401,149
35013,26914,29734,38768,35542
35015,5799,13638,11770,6038
35017,2496,5276,6425,5748
35019,573,1571,914,250
35021,52,94,132,77
35023,526,1044,967,434
35025,10856,13288,12296,5740
35027,1543,4385,4968,3780
35028,317,1168,2837,8938
35029,4647,5293,3517,1926
35031,10059,15197,13898,5054
35033,379,1198,1554,387
35035,7233,11876,16854,7616
35037,1073,2116,1730,1013
35039,3629,8596,9340,5145
35041,2161,3035,3029,2588
35043,9881,24940,33270,29839
35045,12305,24860,32208,12193
35047,3285,5427,6714,4207
35049,11813,24722,28794,45475
35051,1384,2470,2955,1819
35053,2003,4122,2472,2418
35055,2401,6864,8082,6987
35057,1657,4063,3449,1598
35059,547,1413,706,354
35061,7973,16951,16900,9507
36001,16106,47042,56068,85702
36003,2770,11012,9988,6268
36005,253249,259572,230175,186550
36007,11927,40302,39490,36345
36009,5894,20715,16159,10081
36011,6772,18436,17705,12523
36013,10019,31774,27808,19916
36015,5787,21042,18912,13863
36017,4088,13380,10470,6406
36019,6819,20807,14964,12621
36021,4429,13653,12603,14889
36023,2798,9663,9233,8419
36025,3627,12319,9431,7410
36027,18362,55135,60058,72058
36029,52928,178202,192920,221931
36031,2447,9871,8666,7683
36033,4422,13214,10740,6689
36035,4898,13766,12905,7032
36037,3205,14864,14055,9210
36039,4709,13689,9157,7804
36041,804,969,1193,601
36043,4446,16144,13747,9395
36045,6416,24858,24361,15905
36047,313615,458191,340996,667445
36049,1809,8198,4971,3382
36051,4009,13617,13763,11289
36053,3831,16683,14882,12571
36055,49395,119716,145516,198049
36057,4503,12106,11506,6084
36059,81146,213909,214545,433413
36061,158971,155198,169148,766048
36063,13277,50066,50303,37080
36065,18349,50633,49041,40921
36067,28391,80217,93903,113367
36069,4704,20395,24049,28024
36071,24903,71028,73209,73635
36073,3620,11300,9803,4776
36075,9455,30006,25429,15203
36077,3308,12494,11735,12402
36079,4930,19139,18549,27946
36081,295810,453171,367155,529260
