fips_state_county_code,population,agg_assault_tot_arrests,arson_tot_arrests,burglary_tot_arrests,mtr_veh_theft_tot_arrests,murder_tot_arrests,rape_tot_arrests,robbery_tot_arrests,theft_tot_arrests,sale_cannabis_tot_arrests,sale_heroin_coke_tot_arrests,sale_other_drug_tot_arrests,sale_synth_narc_tot_arrests,poss_cannabis_tot_arrests,poss_heroin_coke_tot_arrests,poss_other_drug_tot_arrests,poss_synth_narc_tot_arrests,all_other_tot_arrests,curfew_loiter_tot_arrests,disorder_cond_tot_arrests,family_off_tot_arrests,manslaught_neg_tot_arrests,oth_assault_tot_arrests,oth_sex_off_tot_arrests,prostitution_tot_arrests,runaways_tot_arrests,suspicion_tot_arrests,vagrancy_tot_arrests,vandalism_tot_arrests,weapons_tot_arrests
49001,19665,3.0,0.0,5.0,2.0,2.0,1.0,2.0,5.0,0.0,0.0,7.0,6.0,12.0,1.0,20.0,1.0,28.0,2.0,2.0,3.0,0.0,19.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0
49003,166344,19.0,4.0,11.0,7.0,1.0,0.0,0.0,54.0,0.0,0.0,21.0,0.0,38.0,4.0,52.0,3.0,91.0,10.0,50.0,12.0,0.0,80.0,5.0,0.0,0.0,0.0,0.0,7.0,8.0
49005,385761,40.0,2.0,35.0,18.0,4.0,18.0,4.0,480.0,2.0,1.0,15.0,2.0,202.0,10.0,587.0,14.0,1076.0,36.0,83.0,44.0,0.0,316.0,42.0,8.0,0.0,0.0,0.0,135.0,38.0
49007,60252,9.0,0.0,14.0,0.0,0.0,3.0,0.0,190.0,6.0,8.0,3.0,1.0,25.0,62.0,62.0,1.0,179.0,0.0,42.0,37.0,0.0,96.0,6.0,0.0,0.0,0.0,0.0,22.0,5.0
49009,2901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49011,1070295,113.0,9.0,72.0,41.0,5.0,21.0,23.0,925.0,18.0,57.0,53.0,4.0,511.0,122.0,489.0,10.0,1847.0,38.0,186.0,66.0,0.0,700.0,97.0,1.0,0.0,0.0,1.0,328.0,51.0
49013,60276,11.0,1.0,13.0,10.0,0.0,1.0,0.0,68.0,2.0,8.0,14.0,1.0,50.0,27.0,34.0,0.0,342.0,3.0,38.0,15.0,0.0,80.0,2.0,0.0,18.0,0.0,1.0,13.0,6.0
49015,29622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49017,15162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49019,29397,30.0,1.0,7.0,2.0,0.0,2.0,1.0,26.0,0.0,0.0,18.0,0.0,115.0,0.0,72.0,0.0,344.0,1.0,9.0,6.0,0.0,97.0,2.0,0.0,1.0,0.0,0.0,29.0,19.0
49021,160587,80.0,0.0,29.0,1.0,1.0,7.0,0.0,267.0,109.0,0.0,2.0,1.0,200.0,2.0,33.0,0.0,211.0,0.0,26.0,1.0,0.0,138.0,22.0,0.0,0.0,0.0,1.0,37.0,23.0
49023,35103,10.0,0.0,8.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,45.0,14.0,27.0,0.0,267.0,1.0,14.0,20.0,0.0,44.0,6.0,0.0,0.0,0.0,1.0,12.0,10.0
49025,23271,10.0,1.0,2.0,2.0,0.0,2.0,0.0,9.0,0.0,2.0,3.0,0.0,9.0,0.0,6.0,0.0,48.0,2.0,16.0,0.0,0.0,13.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0
49027,39105,13.0,1.0,14.0,2.0,1.0,4.0,1.0,48.0,2.0,0.0,1.0,0.0,21.0,16.0,26.0,1.0,49.0,0.0,14.0,1.0,0.0,36.0,3.0,0.0,0.0,0.0,0.0,7.0,5.0
49029,37128,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
49031,4284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49033,7458,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,12.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
49035,3350463,1078.0,45.0,384.0,153.0,28.0,134.0,249.0,6930.0,133.0,232.0,287.0,0.0,2400.0,1084.0,2482.0,42.0,18907.0,20.0,1102.0,658.0,4.0,4363.0,178.0,113.0,5.0,0.0,44.0,1177.0,450.0
49037,46476,8.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,99.0,0.0,23.0,0.0,113.0,0.0,2.0,5.0,0.0,20.0,12.0,0.0,0.0,5.0,0.0,0.0,11.0
