FIPS_Code,Employed_2019,Unemployed_2019,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019,5_year_unemployment_delta
8077,73490,2510,60249,78.13991547,-0.467741935
8079,508,12,63015,81.72727966,-0.54
8081,7155,242,63232,82.00871277,-0.421052632
8083,12333,525,52641,68.27272034,-0.327868852
8085,21116,651,50707,65.76441956,-0.558823529
8087,16035,417,57535,74.61999512,-0.456521739
8089,7977,328,43723,56.70652771,-0.486842105
8091,2368,69,72836,94.4646225,-0.517241379
8093,10989,270,77221,100.151741,-0.47826087
8095,2559,40,53432,69.29860687,-0.545454545
8097,10786,337,92820,120.3828583,-0.375
8099,6175,159,47051,61.02277374,-0.468085106
8101,72817,2983,51075,66.24169922,-0.465753425
8103,2883,105,65960,85.54679108,-0.406779661
8105,5230,217,48496,62.89686584,-0.565217391
8107,15965,341,87691,113.7308044,-0.487804878
8109,3405,138,37004,47.99232101,-0.551724138
8111,540,16,50524,65.52707672,-0.452830189
8113,5601,156,77209,100.1361771,-0.425531915
8115,1173,23,42808,55.51981735,-0.586956522
8117,22554,398,86570,112.2769241,-0.5
8119,12409,379,70599,91.56333923,-0.482758621
8121,2920,56,53263,69.079422,-0.387096774
8123,165049,4204,78160,101.3695755,-0.431818182
8125,6020,94,52841,68.53211212,-0.545454545
9001,463937,16880,96966,122.8661957,-0.435483871
9003,466636,18091,75336,95.45869446,-0.455882353
9005,101595,3510,81015,102.6545868,-0.45
9007,91217,2891,81721,103.5491638,-0.456140351
9009,446134,17447,69687,88.30081177,-0.472222222
9011,132673,4775,75226,95.31931305,-0.485294118
9013,84584,2740,90181,114.2688828,-0.465517241
9015,61700,2492,63309,80.21920776,-0.472972973
10001,75903,3217,58804,83.59014893,-0.349206349
10003,290044,10644,76076,108.1423798,-0.351851852
10005,104273,3959,64839,92.16893005,-0.339285714
11001,392726,22250,90395,100,-0.298701299
12001,134690,4282,49880,84.25960541,-0.425925926
12003,11624,392,60454,102.1216965,-0.5
12005,81202,3285,58376,98.61144257,-0.4
12007,10577,371,47509,80.25440216,-0.413793103
12009,274329,9528,57582,97.27017975,-0.527777778
12011,1008095,33239,61429,103.7687073,-0.475409836
12013,4604,199,41399,69.93310547,-0.422535211
12015,69158,2788,54756,92.49636841,-0.450704225
12017,44971,2411,49762,84.06027222,-0.420454545
12019,104069,3431,75776,128.0043182,-0.457627119
12021,174635,5923,76415,129.0837555,-0.459016393
12023,28802,1023,47087,79.54154205,-0.5
12027,13694,528,41673,70.39595795,-0.5
12029,5623,232,39793,67.2201767,-0.473684211
12031,470643,16895,58339,98.54893494,-0.492753623
12033,139939,4919,52822,89.22936249,-0.484848485
12035,45827,1920,62831,106.1370316,-0.466666667
12037,4489,176,47504,80.24595642,-0.344827586
12039,17764,805,42975,72.5953598,-0.494117647
12041,7043,260,46171,77.9941864,-0.47826087
12043,5128,222,45412,76.71205139,-0.481012658
12045,4943,258,53228,89.91519928,-0.193548387
12047,4120,187,39241,66.2877121,-0.448717949
12049,7932,446,41430,69.98547363,-0.329113924
12051,14412,964,45107,76.19683075,-0.456896552
12053,68756,3176,50705,85.65322876,-0.463414634
12055,34082,1731,45723,77.23740387,-0.448275862
12057,732354,24690,61133,103.268692,-0.45
12059,6689,258,38874,65.66776276,-0.486111111
12061,62985,2650,61173,103.3362579,-0.50617284
12063,16477,629,40543,68.48711395,-0.463768116
12065,5347,194,47192,79.71891022,-0.485294118
12067,2760,87,45480,76.82691956,-0.41509434
12069,156335,5449,57660,97.40193939,-0.484848485
12071,337412,11589,62364,105.3481522,-0.467741935
12073,149917,5037,55081,93.04537201,-0.421052632
12075,16066,656,41405,69.94324493,-0.442857143
12077,2556,97,44236,74.72549438,-0.455882353
12079,7168,296,37919,64.05452728,-0.452054795
12081,174772,5965,64151,108.3668365,-0.440677966
12083,133676,5588,49079,82.90651703,-0.466666667
12085,70924,2438,70806,119.6087723,-0.467741935
12086,1336431,35418,54991,92.89334106,-0.617647059
12087,45559,998,67528,114.0714188,-0.5
12089,40563,1291,72818,123.0075378,-0.491803279
12091,93926,2749,63520,107.3009186,-0.471698113
12093,17105,648,45225,76.39616394,-0.513157895
12095,735997,23382,63133,106.6471863,-0.483333333
12097,179268,6426,52270,88.29690552,-0.492753623
12099,709883,25228,66621,112.5392761,-0.433333333
12101,231402,8848,55745,94.16703033,-0.463768116
12103,470700,15391,56708,95.79377747,-0.457627119
12105,294499,12042,51817,87.53166962,-0.472972973
12107,25376,1205,41986,70.92469025,-0.5
12109,131995,3766,90839,153.4494476,-0.416666667
12111,140515,6063,57292,96.78029633,-0.5
12113,81208,2611,66139,111.7250595,-0.446428571
12115,182804,6200,66258,111.9260788,-0.45
12117,246300,7824,69954,118.1695328,-0.474576271
12119,31030,1608,63464,107.2063217,-0.430232558
12121,17639,649,49453,83.53829193,-0.461538462
12123,7920,311,42987,72.6156311,-0.464788732
12125,4464,145,50893,85.97080994,-0.5
12127,244818,9231,53554,90.46589661,-0.485714286
12129,14933,469,58640,99.05740356,-0.433962264
12131,31156,961,62600,105.7468185,-0.454545455
12133,9355,354,42518,71.82337189,-0.47826087
13001,8904,371,43821,70.73607635,-0.550561798
13003,4415,147,38581,62.27764511,-0.578947368
13005,4774,183,41807,67.48506927,-0.471428571
13007,1104,55,39515,63.78530884,-0.483516484
13009,16941,770,44429,71.71751404,-0.511363636
13011,9525,274,53481,86.32929993,-0.582089552
13013,40096,1202,68924,111.2574692,-0.53968254
13015,49094,1730,60254,97.26230621,-0.527777778
13017,5154,304,35931,58,-0.44
13019,7281,312,42058,67.8902359,-0.523255814
13021,65238,2753,43066,69.51734924,-0.50617284
13023,4355,240,48115,77.66747284,-0.539823009
13025,6943,307,44680,72.12268066,-0.548387097
13027,6639,240,39554,63.8482666,-0.513888889
13029,18615,578,79296,128,-0.538461538
13031,36063,1481,48788,78.75382996,-0.472972973
13033,8650,482,42632,68.81678772,-0.475247525
13035,10610,379,47410,76.52945709,-0.546666667
13037,2181,83,34960,56.43260574,-0.471428571
13039,20484,787,58552,94.51493073,-0.439393939
13043,5449,170,41665,67.25585175,-0.565217391
13045,53731,1989,59193,95.54963684,-0.56097561
13047,32471,1036,60753,98.0677948,-0.5
13049,4728,190,42891,69.23486328,-0.472972973
13051,136432,4766,57122,92.20661926,-0.534246575
13053,1936,94,46106,74.42453766,-0.525773196
13055,9857,532,41561,67.08797455,-0.328947368
13057,133427,3883,88635,143.075058,-0.490909091
13059,57543,2194,41036,66.24051666,-0.471428571
13061,820,62,24732,39.92251968,-0.385964912
13063,132093,6047,50737,81.8999176,-0.52688172
13065,2715,106,42928,69.29459381,-0.547619048
13067,410994,13062,79622,128.5262299,-0.474576271
13069,18472,760,41675,67.27199554,-0.512195122
13071,21076,698,41899,67.63357544,-0.604938272
13073,73783,2375,88285,142.5100861,-0.465517241
13075,7885,280,40670,65.64971924,-0.580246914
13077,73121,2292,79232,127.8966904,-0.516129032
13079,5438,209,50411,81.37368774,-0.506666667
13081,9218,379,40482,65.34624481,-0.561797753
13083,7856,274,45986,74.23083496,-0.46031746
13085,12360,371,69155,111.6303482,-0.524590164
13087,11224,449,40473,65.33171844,-0.536585366
13089,383925,14164,63606,102.6731262,-0.506849315
13091,6772,391,41118,66.37287903,-0.43877551
13093,4883,195,37109,59.90153503,-0.604166667
13095,35924,1785,36894,59.55447769,-0.494623656
